cep,logradouro,bairro
04821260,Rua Elói Pontes,Jardim Colonial
04043350,Rua Luís Góis,Mirandópolis
08030440,Rua Luciano Guerra,Vila Curuçá
05861030,Avenida Augusto Cardoso,Jardim Maracá
05009020,Rua Pelágio Lobo,Perdizes
03985050,Rua Frei Ruperto de Jesus,Jardim Ângela (Zona Leste)
05513000,Avenida Professor Francisco Morato,Butantã
03171030,Rua Professor Machado Tolosa,Alto da Mooca
08485470,Rua Arroio do Pontão,Conjunto Habitacional Santa Etelvina III
08011240,Rua Sílvio Cervellini,Vila Pedroso
03514060,Praça Largo do Peixe,Vila Matilde
08060350,Rua Tsutomu Henni,Vila Jacuí
02846050,Rua Nair de Campos,Vila Itaberaba
02213020,Rua Leite Penteado,Vila Medeiros
04060001,Avenida Piassanguaba,Planalto Paulista
08111150,Rua Lagoa das Capivaras,Jardim das Oliveiras
04726000,Avenida João Carlos da Silva Borges,Vila Cruzeiro
08430690,Rua Félix Carpo,Jardim Moreno
03183050,Rua Porfírio Prado,Alto da Mooca
01049000,Rua Formosa,Centro
09913130,Avenida Assembléia,Centro
05157030,Avenida Jornalista Paulo Zingg,Jardim Jaraguá (São Domingos)
05879440,Rua Flandres,Chácara Santa Maria
01424000,Alameda Lorena,Jardim Paulista
04210060,Rua Oliveira Alves,Ipiranga
04262300,Avenida Nazaré,Ipiranga
08371440,Avenida Ragueb Chohfi,Jardim Marilu
02832110,Rua Capitão José Amaral,Vila Portuguesa
04307000,Rua Carlos Villalva,Vila Guarani (Z Sul)
05042001,Rua Clélia,Água Branca
04076003,Avenida Chibarás,Moema
05345020,Rua Ateraris,Jaguaré
03756020,Rua Planalto de Araxá,Jardim Gonzaga
04004050,Avenida Bernardino de Campos,Paraíso
05035000,Avenida Embaixador Macedo Soares,Parque Residencial da Lapa
05850125,Rua Radialista Nascim Filho,Parque Santo Antônio
03171060,Rua Paraupava,Belenzinho
03244070,Rua Caopiá,Jardim Guairaca
02054050,Rua Henrique Felipe da Costa,Vila Guilherme
03731020,Rua Ernestina Del Buono Trama,Vila Londrina
08240305,Rua Vitor José de Castro,Jardim Norma
04609005,Rua João Álvares Soares,Campo Belo
08380024,Rua Leandro Campanari,Jardim Roseli
04925040,Rua Silvilino Mantovanini,Jardim Riviera
05089100,Estrada de Vila Jaguará,Vila Bela Aliança
04843020,Rua Giovanni Bononcini,Parque Brasil
05874170,Rua Sagaris,Parque Novo Santo Amaro
04849080,Rua Ministro Mário David Andreazza,Parque Residencial Cocaia
08032370,Rua Ananaí,Vila Nova Curuçá
05083000,Rua Doutor Cintra Gordinho,Alto da Lapa
05767350,Rua Doutor Renato Bueno Neto,Jardim Catanduva
03275040,Rua Tupixás,Vila Ivone
04942040,Rua Miguel Dionísio Valle,Jardim Nakamura
03563110,Rua Vinte e Sete de Novembro,Jardim São José (Artur Alvim)
04961180,Travessa Olhos Pretos,Vila Calu
03714020,Rua José Adorno,Vila Mesquita
05015040,Rua Doutor Franco da Rocha,Perdizes
05875220,Rua Antônio Fortino,Parque Independência
04195020,Rua Alfredo Jorel,Jardim Celeste
05893000,Rua João da Cruz e Sousa,Jardim das Rosas (Zona Sul)
02273011,Avenida Paulo Lincoln do Valle Pontin,Jaçanã
03811000,Rua Fioravante Lopes Garcia,Jardim Belém
08371300,Rua Morro do Ouro,Parque Boa Esperança
04524010,Rua dos Aracuitas,Moema
05594110,Rua Geraldo Amorim,Jardim Bonfiglioli
04235400,Travessa Mateus Coferati,Cidade Nova Heliópolis
01232010,Rua Conselheiro Brotero,Santa Cecília
03679060,Rua Othonieu Bispo Cardoso,Vila São Francisco (Zona Leste)
04562020,Rua Passaúna,Brooklin Paulista
05376100,Avenida João José Gomes,Vila Antônio
05215000,Rua Ernesto Diogo de Faria,Perus
03819040,Rua Bezerros,Parque Císper
04575050,Rua Alcides Ricardini Neves,Cidade Monções
03191200,Rua Fausto Cleva,Vila Canero
08275010,Rua Mateus Mendes Pereira,Jardim Nossa Senhora do Carmo
03978530,Rua Maria Farneti,Jardim São Roberto
04823420,Rua José Cândido,Parque Alto do Rio Bonito
05379220,Rua Lourival Vieira da Silva,Rio Pequeno
04678020,Rua Professor Djalma Bento,Jardim Luanda
08460110,Rua Domingos Maciel,Jardim Soares
08160245,Travessa Capricho Espanhol,Jardim Jaraguá (Itaim Paulista)
04860225,Rua Luiz Supertti,Jardim Guanabara
04316070,Rua São Venceslau,Vila Guarani (Z Sul)
08210613,Avenida David Domingues Ferreira,Itaquera
02281190,Rua Ari da Rocha Miranda,Conjunto Habitacional Jova Rural
05543100,Rua São Bento,Vila Albano
01311902,Avenida Paulista 37,Bela Vista
02724040,Rua Marcelino de Camargo,Vila Carolina
02415100,Rua Branca Raposo,Jardim Carlu
04038002,Rua Borges Lagoa,Vila Clementino
03259050,Rua Luís da Guerra,Jardim Cotiana
08121030,Rua Francisco Portilho de Melo,Jardim Virginia
04470090,Rua Engenheiro Caio Dias Batista,Jardim Apurá
02038033,Rua Lúcia Rossi,Santana
04119062,Rua Afonso Celso,Vila Mariana
08370200,Rua Embitiba,Jardim São Gonçalo
04111000,Rua Doutor Neto de Araújo,Vila Mariana
01541030,Rua Silveira Campos,Cambuci
05818300,Rua Joaquim Constantino,Jardim Vergueiro
04292080,Rua Dom Pedro Eggerath,Saúde
08490540,Avenida Santa Efigênia,Chácara Santa Etelvina
03657000,Rua Buriti Alegre,Vila Ré
08230240,Rua Panambi,Vila Bozzini
02220190,Rua Antônio Fernandes,Vila Medeiros
03721220,Travessa Iguaí,Vila Rica
02951200,Rua José Veloso Carmo,Vila Nossa Senhora do Retiro
02851090,Rua Trajano de Carvalho,Jardim Guarani
03625110,Rua Aparecida da Costa Melo,Vila Costa Melo
04849018,Travessa Arroio Verde-Mar,Parque Residencial Cocaia
01551080,Rua Ari Cajado,Vila Monumento
02273180,Travessa Pastores de Virgílio,Jaçanã
05109120,Rua Barra do Garça,Chácara São João
05143000,Rua Lino Pinto dos Santos,Jardim Felicidade (Zona Oeste)
03876110,Praça Mata dos Araújos,Vila Rio Branco
04708040,Rua Senador Milton Campos,Santo Amaro
04773110,Rua Lido,Veleiros
08265170,Rua Estrelas da Terra,Jardim Helian
04026060,Rua Coronel José Dionísio Gouvea,Vila Clementino
03115020,Avenida Paes de Barros,Mooca
03805030,Rua Tomás de Sousa Vila Real,Parque Boturussu
04209002,Rua do Manifesto,Ipiranga
01426000,Rua Oscar Freire,Cerqueira César
03387020,Rua Joaquim Rosa da Silva,Jardim Colorado
02462080,Rua Nova dos Portugueses,Chora Menino
02176040,Rua Soldado Benedito Patrício,Parque Novo Mundo
05012000,Rua Professor João Arruda,Perdizes
03447005,Rua Santo Antoninho do Carrão,Vila Carrão
05426030,Rua Martim Carrasco,Pinheiros
04296100,Rua Taquarichim,Vila Vera
02321260,Rua Felisberto Barbosa Dias,Vila Fidalgo
03611010,Rua Domingos Silva,Vila Laís
08441410,Rua Quinta de São Miguel,Jardim Guaianazes
02117011,Rua Diamantina,Vila Maria
05359200,Rua Doutor Artur Neiva,Vila Universitária
16202055,Avenida Cidade Jardim,Jardim São Braz
01205000,Avenida Rio Branco,Campos Elíseos
03155050,Rua Correia Barros,Parque da Vila Prudente
02552080,Rua Antônio Antunes Maciel,Vila Bandeirantes
02310040,Rua Belenzinho,Vila Mazzei
08020040,Rua Félix de Oliveira,Parque Sonia
05529080,Rua Francisco Nogueira,Jardim Jaqueline
04254000,Rua Japaratuba,Vila Conde do Pinhal
04853190,Rua Francisco de Zurbaran,Jardim Noronha
02353090,Rua Gabriel Martins,Parque Ramos Freitas
04305070,Rua Prudente de Moraes Neto,Vila Monte Alegre
04571011,Avenida Engenheiro Luiz Carlos Berrini,Cidade Monções
05339004,Avenida Corifeu de Azevedo Marques,Vila Lageado
08180570,Rua Serra do Grão Mogol,Vila Seabra
05731260,Avenida das Belezas,Vila Ernesto
04851708,Rua das Palmeiras,Jardim Prainha
08060060,Rua Coronel Manuel Feliciano de Souza,Vila Jacuí
05382070,Rua Octávio de Moraes Lopes,Jardim Sarah
02360020,Rua Fausto Domingues,Jardim Fontalis
04832040,Rua Dunkerque,Jardim Kioto
05451110,Praça Comendador Manuel de Melo Pimenta,Vila Madalena
04308015,Praça Octávio Braga,Jabaquara
03355020,Rua Bimbarra,Vila Formosa
01103050,Rua Doutor Cláudio de Sousa,Luz
01208000,Rua dos Andradas,Santa Efigênia
05868860,Rua Arroio das Caneleiras,Conjunto Habitacional Instituto Adventista
01010001,Rua São Bento,Centro
05846050,Rua Amâncio Pedro de Oliveira,Vila Maracanã
08230413,Avenida Padre Gregório Mafra,Vila Taquari
02144010,Rua Soldado Gentil Guimarães,Parque Novo Mundo
04183090,Rua Olympia Semeraro,Jardim Santa Emília
05587170,Rua Emília Maria Ramalho Torres,Jardim Rizzo
02559020,Rua Padre Priuli,Vila Prado
03189210,Rua São Pompônio,Vila Oratório
05037040,Praça Doutor Pedro Corazza,Água Branca
01306000,Rua Avanhandava,Bela Vista
03677230,Rua Antônio Machado,Jardim Três Marias
05798300,Rua Roberto Campos Rodrigues,Jardim Avenida
02020110,Praça Ricardo Whately,Santana
05749300,Rua José Maria Pinto Zilli,Jardim das Palmas
03186020,Rua Ibitinga,Vila Bertioga
02820070,Rua Vale do Sol,Vila Brasilândia
02126040,Rua Henrique Leitão,Vila Maria Alta
02047020,Rua da Coroa,Vila Guilherme
08474170,Rua Cadernos de Viagem,Conjunto Habitacional Castro Alves
02765040,Rua Vito Osvaldo Saponara,Vila Hebe
02552130,Rua Luís Trevigant,Vila Bandeirantes
08430320,Rua Vicenzo Ruffo,Jardim Gianetti
03379050,Rua Teofrasto,Vila Olinda
01134902,Avenida Rudge 810,Barra Funda
04932290,Rua Mário de Magalhães Gomes,Vila Dona Meta
13104102,Rua Grajaú,Loteamento Caminhos de São Conrado (Sousas)
02114012,Rua Eli,Vila Maria
02327180,Rua da Fonte,Jardim Portal I e II
04089016,Alameda dos Maracatins,Indianópolis
04612040,Avenida Barão do Rego Barros,Vila Congonhas
03147030,Rua Tripuí,Vila Bela
02760150,Rua Antônio Ramos da Cruz,Vila Ramos
05144085,Avenida Aparecida do Rio Negro,Jardim Íris
05782440,Rua Osiris de Camargo,Parque Munhoz
04849516,Rua Paraíso,Cantinho do Céu
02562080,Rua Jerônimo Ferreira,Vila Santa Maria
05324130,Rua Cono Matteo,Parque Continental
02728060,Rua Magarça,Vila Palmeiras
02441100,Rua Salvador Pela,Lauzane Paulista
02522050,Rua Nova Granada,Vila Baruel
04337020,Rua Capitão Brasílio Carneiro,Americanópolis
05059060,Rua David Canabarro,Alto da Lapa
03264010,Rua Professor Rui Vianna Braga,Vila Paulo Silas
04132010,Rua Lourenço Geraldo Basto,Saúde
02764070,Rua Doutor Domingos Freire,Parque Itaberaba
08280040,Rua Isaar Carlos de Camargo,Cidade Líder
05813060,Rua Nazareno Pedroso de Oliveira,Jardim São Luís
08220600,Rua Liderança,Jardim Liderança
03512010,Rua Doutor Pelágio Marques,Vila Matilde
09991000,Avenida Dom Pedro I,Conceição
05106020,Rua Joaquim da Costa Miranda,Parque Anhangüera
04547004,Rua Gomes de Carvalho,Vila Olímpia
03443060,Rua Bombaim,Vila Nova Manchester
04413005,Travessa Pranto no Mar,Jardim Sul São Paulo
04310030,Avenida Doutor Hugo Beolchi,Vila Guarani (Z Sul)
02765070,Rua José Frederico,Vila Hebe
05796110,Rua Limbani,Jardim Vale das Virtudes
04002030,Rua Teixeira da Silva,Paraíso
04642000,Rua Visconde de Porto Seguro,Jardim dos Estados
04913150,Rua Antônio Arenso,Jardim Santa Edwiges (Capela do Socorro)
04125040,Rua Visconde de Guaratiba,Vila Firmiano Pinto
05401300,Avenida Rebouças,Pinheiros
01415000,Rua Bela Cintra,Consolação
01233050,Rua Itaguaba,Santa Cecília
01023040,Rua Comendador Afonso Kherlakian,Centro
04651210,Travessa Dona Ana,Vila São Paulo
03634000,Rua Doutor João Ribeiro,Penha de França
03721080,Rua Luciano Nogueira,Cangaíba
05083160,Praça Doutor Antônio Bento Garcia,Alto da Lapa
08270700,Avenida Osvaldo Pucci,Jardim Nossa Senhora do Carmo
02808070,Rua Salvador José Maciel,Sítio Morro Grande
05524100,Rua Nossa Senhora das Graças,Ferreira
05409930,Rua Oscar Freire 1546,Pinheiros
04411170,Rua Oleoduto,Americanópolis
09580400,Avenida Guido Aliberti,Mauá
03460070,Rua Arraial Velho,Jardim Vila Formosa
05335100,Rua São Fidélis,Jaguaré
04311001,Avenida do Café,Vila Guarani (Z Sul)
03951090,Rua Doutor Paulo Queiroz,Jardim Nove de Julho
02556100,Rua Benedita Barbosa,Vila Barbosa
04533002,Rua Tabapuã,Itaim Bibi
03151120,Rua Paraibuna,Quinta da Paineira
02996050,Rua Canuto Berea,Parque Nações Unidas
03280020,Rua Manoel Luiz de Araújo Costa,Parque Tomas Saraiva
03273510,Rua José Cerino de Carvalho,Vila Santa Clara
08410080,Rua Doutor Meira Pena,Vila Lourdes
03654060,Rua Olívia de Oliveira,Vila Granada
03524030,Avenida Mendonça Drumond,Jardim Maringá
08421200,Rua Rola Cabocla,Vila Cosmopolita
04217000,Rua do Grito,Ipiranga
08320390,Avenida Adélia Chohfi,Parque São Rafael
03979070,Rua Antônio Sarzedas,Jardim Elba
03137180,Rua Doutor Moraes do Rego,Vila Prudente
05564000,Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda
05033010,Rua Carijós,Água Branca
02127030,Praça Maria Montessori,Vila Maria Alta
01529001,Rua Pires da Mota,Aclimação
05172180,Rua Brigadeiro Godinho dos Santos,Vila Pirituba
03676040,Rua Breno Acioli,Jardim Três Marias
04696160,Rua Coronel Jaime Bueno de Camargo,Jurubatuba
03132050,Praça do Centenário de Vila Prudente,Vila Prudente
02612120,Rua Caxipó-Mirim,Vila Nova Cachoeirinha
05775240,Rua Oliveira Serpa,Parque Regina
02201000,Avenida Júlio Buono,Vila Gustavo
03072000,Rua Honório Maia,Maranhão
08412070,Rua Antônio Silvestre Ferreira,Vila Cruzeiro
05121010,Rua José de Souza Freire,Parque São Domingos
02276040,Rua Manuel Martins Ferreira,Jaçanã
05760140,Avenida Amadeu da Silva Samelo,Jardim Martinica
03140040,Rua Manaiás,Parque da Vila Prudente
02526010,Rua Monte Cassino,Jardim São Bento
05095000,Rua Camacam,Vila Anastácio
02723000,Rua Vicente Ferreira Leite,Vila Siqueira (Zona Norte)
08460157,Rua Euzébio Rodrigues,Jardim Soares
05855260,Rua Jan Andreas,Parque Maria Helena
01027020,Rua Antônio Pais,Centro
08391601,Rua Natal,Parque das Flores
05026040,Rua Taipas,Vila Pompéia
03040030,Rua Capitão Faustino Lima,Brás
03442020,Praça General João Francisco,Chácara Califórnia
04135050,Rua Ministro Frederico Marques,Bosque da Saúde
04510001,Rua Balthazar da Veiga,Vila Nova Conceição
08010450,Rua José Amâncio Cunha,Cidade Nitro Operária
02131010,Rua Kioto,Vila Maria Alta
03029070,Rua Pascoal Malatesta,Canindé
03984110,Rua Pico do Marumbi,Jardim Planalto
03274140,Rua Rio do Sul,Vila Santa Clara
02031030,Rua Cerqueira Leite,Santana
03280120,Rua Antônio Moreno Leal,Vila Carmem
04321070,Rua das Seringueiras,Vila Parque Jabaquara
05466000,Avenida Arruda Botelho,Alto de Pinheiros
01224030,Rua Fortunato,Vila Buarque
04850050,Rua Maestro Umberto Bastiglia,Parque Cocaia
05417002,Rua Mourato Coelho,Pinheiros
04385080,Rua Margarida Zingg,Jardim Itacolomi
08475180,Rua Eduardo Sanchez,Cidade Tiradentes
03286000,Rua Juiz de Fora,Vila Ema
04257190,Rua Antônio Lamas,Parque Fongaro
04521022,Rua Ministro Gabriel de Rezende Passos,Moema
08011710,Rua Estanislau de Miranda,Jardim Alto Pedroso
02276060,Rua Abílio Ferreira Brandão,Jaçanã
02302020,Rua Caeté-Açu,Vila Paulicéia
02420050,Rua João Cassimiro Magalhães Glória,Parque Mandaqui
03472100,Rua Bactória,Jardim Vila Formosa
05037170,Avenida Comendador Martinelli,Água Branca
03257180,Rua Pascoal Ranieri Mazzilli,Vila Mendes
05362060,Rua Visconde do Bom Retiro,Vila São Luís(Zona Oeste)
02417170,Rua Fúlvio Morganti,Jardim Paraíso
04850220,Rua Ugo Fóscolo,Parque Cocaia
04282010,Rua Edgar de Campos,Vila Nair
03310020,Praça Barão de Itaqui,Vila Gomes Cardim
05545070,Rua Inácio de Oliveira,Jardim Monte Alegre
03570170,Rua Maria Molino,Parque Savoy City
03881150,Rua Jales Rodrigues da Silva,Vila Ponte Rasa
08420010,Rua Hilário Pires,Jardim Helena
03609070,Rua Barra do Rio Grande,Vila São Geraldo
01225040,Rua Barão de Joatinga,Vila Buarque
04843650,Rua Geraldo Honório da Silva,Parque Grajaú
04503090,Rua Cândido do Nascimento,Jardim Paulista
05880290,Rua Garcia de Orta,Parque Independência
05844230,Rua Angelino Rondanin,Jardim São Luís
04127120,Rua Santo Irineu,Bosque da Saúde
01139002,Avenida Marquês de São Vicente,Várzea da Barra Funda
04106090,Largo Dona Ana Rosa,Vila Mariana
01526020,Rua Espírito Santo,Aclimação
04890430,Rua Mário Trape,Jardim Novo Parelheiros
08440220,Rua Pedro Ferraz Lopes,Jardim do Campo
04651000,Avenida Coronel Francisco Júlio César Alfieri,Vila São Paulo
04370090,Rua Luiz Gomes de São Tiago,Vila Santa Catarina
03187030,Rua Antônio José Loureiro,Vila Bertioga
08490500,Estrada Iguatemi,Jardim Pedra Branca
04911010,Rua Cosme da Silveira,Guarapiranga
08311410,Travessa Coruja do Campo,Jardim Rodolfo Pirani
02304005,Praça Arquiteto Flávio Império,Tucuruvi
04715003,Rua Américo Brasiliense,Chácara Santo Antônio (Zona Sul)
02562010,Rua Andréa Del Castagno,Vila Santa Maria
03980170,Rua Materlândia,Jardim Elba
01407913,Avenida Nove de Julho 5593,Jardim Paulista
08140330,Rua Francisco Mateus Rendon,Jardim Campos
08150588,Rua Claudiano de Alexandria,Jardim Quisisana (Vila Nova Curuçá)
03984030,Rua Pacoeira,Jardim Planalto
01503010,Praça da Liberdade - Japão,Liberdade
03532020,Rua Paranhos,Vila Nova Savoia
03425080,Praça João Casa Grande,Vila Carrão
03634030,Rua Antônio Lobo,Penha de França
08062660,Rua Marim dos Caetés,Jardim São Carlos (Zona Leste)
03077005,Avenida Condessa Elisabeth de Robiano,Tatuapé
04066000,Alameda dos Araés,Planalto Paulista
04902190,Rua Japu,Parque Alves de Lima
05420010,Rua Mário Guastini,Pinheiros
05736110,Rua Clara Aurora,Jardim Ingá
03389020,Rua Professor Cortines Laxo,Vila Primavera
03569030,Rua Major Boaventura,Parque Artur Alvim
02401300,Rua Voluntários da Pátria,Santana
05508080,Rua do Lago,Butantã
08140060,Rua Antônio João de Medeiros,Itaim Paulista
02040040,Rua Assuí,Jardim São Paulo(Zona Norte)
01047912,Praça Dom José Gaspar 134,República
08320190,Rua Torquato Teixeira,Parque São Rafael
02161040,Rua do Violão,Jardim Julieta
08142320,Rua Humberto Quintilio,Jardim Laura
08070192,Viela Eurides da Silva Carvalho,Parque Cruzeiro do Sul
03191110,Rua Miguel Mota,Vila Canero
03551060,Rua Caicó,Cidade Patriarca
02417140,Rua General Nestor Passos,Jardim Paraíso
05766290,Rua Cardoso Moreira,Jardim Olinda
04960110,Rua Barão de Paiva Manso,Jardim Capela
02618290,Rua General Isidoro Dias Lopes,Vila Amália (Zona Norte)
08485520,Estrada do Palanque,Conjunto Habitacional Santa Etelvina II
01306901,Rua Avanhandava 126,Bela Vista
03531020,Rua Gregório Souza,Vila Nova Savoia
03627210,Travessa Icapuí,Vila Buenos Aires
03021000,Rua Catumbi,Catumbi
04816030,Rua Alfredo Ferreira de Carvalho,Interlagos
04941160,Rua Paquistão,Parque Bologne
01457000,Rua Iraci,Jardim Paulistano
01316080,Viaduto Doutor Manuel José Chaves,Bela Vista
05596030,Rua Alfredo Xavier de Andrade,Cidade dos Bandeirantes
02263080,Rua Barreiro da Raiz,Vila Nova Carolina
05445000,Rua Pascoal Vita,Vila Madalena
05856160,Rua Vozes D'África,Parque Sonia
04679345,Rua Monlevade,Vila Romano
03003030,Rua Pires Ramos,Brás
04301903,Avenida Miguel Estefno 3900,Água Funda
04417000,Avenida Garcia de Ávila,Jardim Miriam
04058020,Avenida Odila,Planalto Paulista
04458110,Rua João Cândido,Jardim Ubirajara (Zona Sul)
02282050,Avenida Cabuçu,Jardim São Luís (Zona Norte)
02913120,Rua Padre Egídio José Porto,Piqueri
02874040,Rua Laudelino Antônio de Brito,Jardim dos Francos
01021000,Rua Vinte e Cinco de Março,Centro
05181000,Avenida Jerimanduba,Jaraguá
02521030,Rua Nordeste,Casa Verde Média
02680070,Avenida Doutor Wando Henrique Cardim,Jardim Peri
03185050,Rua Florianópolis,Vila Bertioga
04754080,Rua Plácido Vieira,Santo Amaro
02834050,Rua Professor Albuquerque Gama,Vila Nina
04003010,Rua Leôncio de Carvalho,Paraíso
08130340,Rua Desembargador Octávio Gonzaga Júnior,Cidade Kemel
04856200,Avenida Paulo Guilguer Reimberg,Jardim Novo Horizonte
04087001,Alameda dos Anapurus,Indianópolis
05263030,Rua dos Jequitibás,Residencial Taipas
03334010,Rua Freire de Andrade,Vila Regente Feijó
05759230,Rua Gilson Rocha Pitta,Jardim Martinica
04880190,Rua das Perdizes,Recanto Campo Belo
04273200,Rua Vergueiro,Vila Firmiano Pinto
02834010,Rua Macedônia,Vila Nina
04625070,Rua Sampaio de Barros,Nova Piraju
08345000,Travessa Nave Mãe,Jardim da Conquista (Zona Leste)
08040000,Avenida Afonso Lopes de Baião,Vila Carolina
04949070,Rua Francisco Homem De El-Rei,Jardim Aracati
11040000,Avenida Almirante Cochrane,Aparecida
03882170,Rua Ana Luísa de Sousa,Vila Ponte Rasa
08430020,Rua Santa Etelvina,Jardim Santa Terezinha (Zona Leste)
04249095,Rua Ettore Lantieri,Sacomã
05442010,Rua Araioses,Sumarezinho
08090410,Praça Carmo da Cachoeira,Jardim Helena
04613001,Rua Otávio Tarquínio de Sousa,Campo Belo
02063902,Avenida Morvan Dias de Figueiredo 3177,Vila Guilherme
08474150,Rua Brasil Nativo,Conjunto Habitacional Castro Alves
05833310,Rua Pedro Gonçalves Guerra,Jardim Thomaz
05831060,Praça Doutor Mário Saraiva de Andrade,Chácara Santana
03041100,Rua Aristides Lobo,Brás
03693150,Rua Diofanto,Jardim Coimbra
08330210,Rua Padre Fernando de Monserrate,Vila Ester
01420001,Alameda Jaú,Jardim Paulista
04965140,Avenida dos Funcionários Públicos,Jardim Vera Cruz(Zona Sul)
02124080,Rua Nigata,Jardim Japão
05443030,Rua Padre Artur Somensi,Vila Madalena
08275030,Rua Marcondes Homem de Melo,Jardim Nossa Senhora do Carmo
08110100,Rua Jangaba,Parque Industrial
03269070,Rua José Lourenço Figueiredo,Vila Tolstoi
08190130,Rua Bernardo de Chaves Cabral,Vila Aimoré
01252120,Avenida Sumaré,Sumaré
02993220,Rua Joaquim Ferrer,Jardim Vivan
02432060,Rua Vale da Ribeira,Vila Mariza Mazzei
03453100,Avenida Rio das Pedras,Jardim Aricanduva
03047040,Praça Monsenhor Meireles Freire,Brás
04014010,Avenida Conselheiro Rodrigues Alves,Vila Mariana
01045905,Praça da República 309,República
04402130,Rua Armando Gomes de Araújo,Vila Marari
03736240,Rua Maria Leocádia,Vila Buenos Aires
04610011,Rua Xavier Gouveia,Parque Colonial
02515040,Praça do Centenário,Casa Verde
04120140,Praça Graciliano Ramos,Vila Mariana
02351020,Rua Barão de São Félix,Parque Casa de Pedra
04385030,Rua Victória Simões,Jardim Itacolomi
08081210,Rua Tetiximira,Jardim Helena
04164210,Rua Itaguajé,Vila Moraes
03089090,Praça Doutor Almeida Junqueira,Maranhão
08452270,Rua Dom José Antônio do Couto,Vila Iolanda(Lajeado)
03147020,Rua Fernandes Sardinha,Vila Bela
05612000,Rua Olegário Mariano,Jardim Guedala
02123010,Rua Cecília Meireles,Jardim Japão
02280360,Rua Arariraca,Vila Nova Galvão
04137111,Rua Tiquatira,Bosque da Saúde
04941090,Rua Nova Providência,Parque Bologne
04317010,Rua Indare,Vila Guarani (Z Sul)
04003040,Rua Doutor Rafael de Barros,Paraíso
08452430,Rua Francisco de Soutomaior,Jardim Lourdes
09925000,Rodovia dos Imigrantes,Campanário
05892335,Travessa Maria Isabel Novais Braga,Jardim das Rosas (Zona Sul)
08022310,Rua Tito Guimarães Junqueira,Jardim Santo Elias (São Miguel)
03520000,Avenida Dalila,Vila Dalila
02812100,Rua Francisco Reis,Jardim Paulistano (Zona Norte)
08111030,Rua Clemente Martins de Matos,Vila Itaim
03028040,Rua Siqueira Afonso,Pari
08380210,Rua Felipa Gago,Jardim Iguatemi
04776137,Rua Pedro Andrade Lemos,Vila Lisboa
08475260,Rua Apóstolo Simão Pedro,Cidade Tiradentes
03185020,Rua Porto Alegre,Vila Bertioga
04803170,Avenida Alcindo Ferreira,Parque do Castelo
02756100,Rua José Francisco de Alvarenga,Jardim Primavera (Zona Norte)
03545020,Rua Jandaia do Sul,Vila Guilhermina
05450020,Rua Cordeiro Galvão,Vila Madalena
02313120,Travessa Jacob,Vila Nova Mazzei
13520000,,
08260120,Rua Zituo Karasawa,Colônia (Zona Leste)
04262100,Avenida Nazaré,Ipiranga
02813070,Rua Cecília Maria das Dores,Jardim Paulistano (Zona Norte)
08151550,Rua Francisco Luís de Oliveira,Jardim Bartira
01509000,Rua José Getúlio,Liberdade
03057070,Rua Silva Jardim,Belenzinho
02991270,Estrada das Taipas,Jardim Alvina
04535008,Rua João Cachoeira,Vila Nova Conceição
03584170,Rua Jacinto Ferreira,Parque Savoy City
03757050,Rua Itapiruna,Jardim Penha
02217140,Rua São Delfino,Vila Sabrina
04074010,Avenida Rubem Berta,Indianópolis
08255020,Rua Bernardino Prudenti,Conjunto Residencial José Bonifácio
01231001,Rua Baronesa de Itu,Santa Cecília
08381780,Rua Solange da Pureza Santos Lemos,Recanto Verde do Sol
05466060,Rua São Bento do Sul,Alto de Pinheiros
05158000,Rua Miguel Pereira Landim,Parque Anhangüera (São Domingos)
05625060,Rua Domingos Olímpio,Vila Sônia
04917100,Rua Manuel do Couto Almeida,Jardim Souza
04815130,Rua Plínio Schmidt,Jardim Marcel
08255015,Rua José Ariza,Conjunto Residencial José Bonifácio
08111190,Rua Nossa Senhora da Apresentação,Jardim das Oliveiras
01257030,Rua Herculano,Sumaré
01141060,Avenida Antártica,Parque Industrial Tomas Edson
05591010,Avenida Embaixador Cavalcanti de Lacerda,Jardim Bonfiglioli
04576030,Rua Charles Coulomb,Cidade Monções
02957110,Rua Marilac,Vila Mirante
08030080,Rua Irineu de Souza,Vila Clara
04937080,Rua Doutor Azevedo Sodré,Vila Bom Jardim
03630010,Rua Cirino de Abreu,Guaiaúna
04349000,Rua das Grumixamas,Vila Parque Jabaquara
02997110,Rua Jacatirão,Vila Ana Rosa
03589060,Rua Paulino Rafael,Conjunto Habitacional Padre José de Anchieta
05445001,Rua Pascoal Vita,Vila Madalena
04723001,Avenida João Dias,Santo Amaro
02352000,Rua Humberto Bortolo,Bortolândia
05780280,Praça dos Cartógrafos,Vila Prel
02016020,Rua Banco das Palmas,Santana
03820080,Rua José Palomino,Vila Sílvia
02249040,Rua Águas Negras,Vila Gustavo
02203010,Rua Padre Marcos Simoni,Vila Ede
01202020,Rua São Martinho,Campos Elíseos
05688021,Rua Joaquim Cândido de Azevedo Marques,Vila Morumbi
02309000,Rua Irmãos Pila,Vila Mazzei
05095040,Praça Mataúna,Vila Anastácio
04533014,Rua Tabapuã,Itaim Bibi
03581170,Rua Antônio Campitelli,Jardim Fernandes
08346370,Avenida Nova Conquista,Jardim da Conquista (Zona Leste)
