cep,logradouro,bairro
02462000,Rua Dona Elfrida,Chora Menino
03029040,Rua Padre Lima,Canindé
01524000,Rua da Independência,Cambuci
05862200,Rua João de Góis,Jardim Lídia
05787001,Largo do Campo Limpo,Campo Limpo
08285065,Avenida Itaquera,Cidade Líder
03960060,Rua Paulino Cursi,Cidade São Mateus
04822070,Rua Cecília Melo Vasconcelos,Parque América
03289110,Rua Padre Atílio Garret,Vila Virginia
04310060,Avenida Pedro Severino Júnior,Vila Guarani (Z Sul)
03654030,Rua Alarco,Vila Granada
04929340,Rua Soares de Sousa Júnior,Alto da Riviera
04071010,Avenida dos Bandeirantes,Planalto Paulista
02187110,Avenida Educador Paulo Freire,Parque Novo Mundo
04064031,Alameda dos Guaicanãs,Planalto Paulista
08295080,Rua Pedro Leopoldo,Vila Carmosina
04135020,Avenida Botuquara,Bosque da Saúde
02811030,Rua Visconde Geraz do Lima,Jardim Monte Alegre (Zona Norte)
01246030,Rua Itaquera,Pacaembu
08110770,Rua Gaspar Gomes Mualho,Vila Itaim
03028001,Avenida Carlos de Campos,Pari
02710001,Avenida Professor Celestino Bourroul,Limão
05365080,Rua Camarazal,Vila Nova Alba
08320890,Rua Forte de São Gonçalo,Jardim Buriti
05421040,Rua Pedro Cristi,Pinheiros
04849539,Rua da Paz,Cantinho do Céu
04583110,Avenida Doutor Chucri Zaidan,Vila Cordeiro
04729110,Rua Umberto Caputi,Jardim Caravelas
04191230,Rua Carapiranga,Vila Caraguatá
02850090,Rua Urutaí,Parque Belém
03146030,Rua Pitinga,Vila Lúcia
03138120,Rua Ferreira da Silva,Parque da Vila Prudente
02464070,Rua Manuel Manrique,Vila Celeste
03071130,Rua Manoel Graça,Tatuapé
05418001,Rua Deputado Lacerda Franco,Pinheiros
02050000,Rua Dona Santa Veloso,Vila Guilherme
02180030,Rua Baiucu,Parque Novo Mundo
02862000,Rua Henry Charles Potel,Jardim Elisio
04945005,Rua Antônio Elias Schoueri,Parque do Lago
05882000,Rua Henrique Sam Mindlin,Jardim São Bento Novo
04348150,Rua Professora Jossie Martins Valchigue,Jardim Oriental
03515040,Rua João Geraldo,Vila Matilde
04754000,Rua Voluntário Delmiro Sampaio,Santo Amaro
04410110,Rua Doutor Rafael Parisi,Americanópolis
01213001,Rua General Osório,Santa Efigênia
04555010,Viaduto Santo Amaro,Brooklin Paulista
08021470,Rua Professor Assis Veloso,Jardim São Vicente
02175030,Rua Abel Marciano de Oliveira,Parque Novo Mundo
03411070,Rua Bacarira,Chácara Santo Antônio (Zona Leste)
03738190,Rua Patrícia,Parque Penha
04363001,Avenida Mascote,Vila Mascote
04962010,Rua Pablo Bruna,Vila do Sol
05767360,Rua Francisco Martins Bonilha,Jardim Catanduva
03716150,Praça Barra do Ouro,Jardim Piratininga
08072165,Rua Eliana de Carvalho,União de Vila Nova
02964100,Rua Francisco Antônio Iório,Vila Iório
02208080,Rua Balins,Vila Medeiros
02348020,Rua Genova,Jardim Leonor Mendes de Barros
03565010,Rua Artur Alvim,Vila Santa Teresa (Zona Leste)
02441170,Rua João de Loana,Lauzane Paulista
03134055,Praça Doutor Heráclito Corrêa de Freitas Neto,Vila Prudente
38060000,Avenida Leopoldino de Oliveira,Mercês
05802140,Avenida Guido Caloi,Jardim São Luís
02846220,Rua Joviniano de Oliveira,Vila Itaberaba
04235300,Rua Paraíba,Cidade Nova Heliópolis
